Time,Anchor1,Anchor2,Anchor3,Anchor4,Est_X,Est_Y
17:36:53,1.64,1.01,1.83,2.26,1.59,0.79
17:36:53,1.69,0.99,1.85,2.24,1.60,0.79
17:36:53,1.69,1.01,1.83,2.23,1.60,0.79
17:36:53,1.66,1.01,1.82,2.26,1.60,0.79
17:36:53,1.65,1.01,1.84,2.27,1.60,0.79
17:36:54,1.66,1.02,1.84,2.27,1.60,0.79
17:36:54,1.62,1.02,1.82,2.24,1.59,0.78
17:36:54,1.69,0.99,1.85,2.25,1.60,0.79
17:36:54,1.68,1.0,1.84,2.25,1.60,0.79
17:36:54,1.68,1.05,1.84,2.23,1.60,0.79
17:36:55,1.66,1.01,1.86,2.23,1.60,0.80
17:36:55,1.66,1.0,1.85,2.24,1.60,0.80
17:36:55,1.66,1.03,1.85,2.23,1.60,0.80
17:36:55,1.67,0.99,1.82,2.24,1.60,0.80
17:36:55,1.65,0.99,1.84,2.25,1.60,0.80
17:36:55,1.66,1.01,1.85,2.27,1.60,0.79
17:36:56,1.66,1.01,1.83,2.24,1.60,0.79
17:36:56,1.68,1.01,1.86,2.24,1.60,0.80
17:36:56,1.69,1.01,1.83,2.25,1.60,0.80
17:36:56,1.67,1.03,1.84,2.24,1.60,0.80
17:36:56,1.67,1.05,1.88,2.25,1.60,0.80
17:36:57,1.68,1.01,1.9,2.27,1.60,0.80
17:36:57,1.69,1.01,1.86,2.27,1.60,0.80
17:36:57,1.64,0.99,1.83,2.25,1.60,0.79
17:36:57,1.63,1.02,1.85,2.25,1.60,0.79
17:36:57,1.65,1.02,1.82,2.26,1.60,0.79
17:36:57,1.67,0.99,1.82,2.24,1.60,0.79
17:36:58,1.66,1.04,1.81,2.27,1.60,0.79
17:36:58,1.66,1.02,1.83,2.26,1.60,0.79
17:36:58,1.65,0.99,1.83,2.25,1.60,0.79
17:36:58,1.68,0.99,1.84,2.24,1.60,0.79
17:36:58,1.64,1.0,1.84,2.23,1.60,0.79
17:36:58,1.67,0.99,1.83,2.22,1.60,0.79
17:36:59,1.66,1.05,1.82,2.27,1.60,0.79
17:36:59,1.65,1.01,1.81,2.27,1.60,0.79
17:36:59,1.67,0.99,1.81,2.23,1.60,0.79
17:36:59,1.68,1.0,1.86,2.26,1.60,0.79
17:36:59,1.67,1.05,1.83,2.28,1.60,0.79
17:36:59,1.67,1.04,1.79,2.28,1.60,0.79
17:37:00,1.67,1.0,1.83,2.27,1.60,0.78
17:37:00,1.69,1.01,1.85,2.25,1.60,0.79
17:37:00,1.64,1.05,1.84,2.26,1.60,0.78
17:37:00,1.66,1.06,1.85,2.27,1.59,0.78
17:37:00,1.66,1.04,1.83,2.26,1.59,0.78
17:37:01,1.68,0.99,1.82,2.23,1.60,0.79
17:37:01,1.65,1.02,1.88,2.22,1.60,0.79
