Time,Anchor1,Anchor2,Anchor3,Anchor4,Filtered_X,Filtered_Y
22:03:57,1.46,1.43,2.25,1.23,1.46,1.48
22:03:57,1.52,1.45,2.26,1.73,1.47,1.47
22:03:57,1.61,1.44,2.14,1.73,1.48,1.46
22:03:58,1.8,1.25,2.24,1.59,1.52,1.48
22:03:58,1.56,1.32,2.07,1.33,1.54,1.50
22:03:58,1.52,1.37,2.12,1.32,1.54,1.51
22:03:58,1.79,1.53,2.09,1.38,1.55,1.54
22:03:58,1.72,1.75,2.12,1.32,1.54,1.56
22:03:59,1.42,1.76,2.2,1.36,1.51,1.56
22:03:59,1.44,1.83,2.31,1.36,1.48,1.55
22:03:59,1.33,1.79,2.4,1.26,1.46,1.55
22:03:59,1.26,1.81,2.43,1.37,1.42,1.54
22:03:59,1.22,1.82,2.46,1.48,1.39,1.52
22:03:59,1.14,1.86,2.54,1.36,1.36,1.50
22:04:00,1.16,1.83,2.55,1.64,1.34,1.47
22:04:00,1.11,1.89,2.35,1.45,1.31,1.46
22:04:00,1.11,2.08,2.57,1.5,1.26,1.44
22:04:00,1.13,1.89,2.41,1.53,1.24,1.42
22:04:00,1.16,1.94,2.53,1.5,1.23,1.41
22:04:00,1.19,1.93,2.53,1.65,1.21,1.40
22:04:01,1.17,2.0,2.57,1.59,1.19,1.39
22:04:01,1.2,1.97,2.52,1.52,1.18,1.38
22:04:01,1.21,1.91,2.58,1.41,1.17,1.38
22:04:01,1.19,1.91,2.48,1.5,1.17,1.38
22:04:01,1.19,1.99,2.68,1.47,1.16,1.38
22:04:02,1.17,2.05,2.61,1.5,1.14,1.38
22:04:02,1.25,1.91,2.52,1.41,1.14,1.38
22:04:02,1.36,2.37,2.47,1.52,1.11,1.39
22:04:02,1.55,2.21,2.3,1.14,1.10,1.43
22:04:02,1.48,1.83,2.43,1.38,1.13,1.44
22:04:02,1.72,1.8,2.25,1.12,1.17,1.49
22:04:03,1.98,2.14,2.07,1.0,1.20,1.55
22:04:03,1.91,1.82,1.6,0.98,1.25,1.61
22:04:03,2.05,1.78,1.62,0.9,1.30,1.67
22:04:03,2.13,1.9,1.64,0.84,1.35,1.73
22:04:03,2.26,2.21,1.44,0.82,1.37,1.80
22:04:03,2.18,2.14,1.4,0.83,1.40,1.85
22:04:04,2.21,2.15,1.31,0.83,1.41,1.89
22:04:04,2.44,2.29,1.19,0.86,1.44,1.96
22:04:04,2.45,2.63,1.45,0.92,1.43,2.01
22:04:04,2.61,2.09,1.46,0.96,1.49,2.07
22:04:04,2.62,2.21,1.49,0.99,1.54,2.13
22:04:04,2.64,2.17,1.58,1.0,1.58,2.17
22:04:05,2.59,2.35,1.52,1.01,1.60,2.21
22:04:05,2.62,2.21,1.55,1.0,1.63,2.25
22:04:05,2.6,2.39,1.33,1.02,1.63,2.27
22:04:05,2.64,2.41,1.57,1.01,1.64,2.30
22:04:05,2.64,2.25,0.91,1.0,1.66,2.33
22:04:06,2.62,2.4,1.11,0.98,1.67,2.35
22:04:06,2.6,2.29,1.37,0.99,1.68,2.36
22:04:06,2.58,2.13,1.35,0.99,1.70,2.37
22:04:06,2.74,2.52,1.13,1.0,1.70,2.40
22:04:06,2.7,2.2,1.02,1.04,1.73,2.42
22:04:06,2.76,2.12,1.07,1.19,1.77,2.43
